review_date,review_text,amenities_score,service_score,location_score,overall_rate,review_hotel,review_source
2023-11-12,我和朋友去台灣旅行時在這裡住了兩晚。 到目前為止，我已經去過亞洲的幾個國家。 我的印像是台灣是英文最不懂的地方。 知道飯店裡說日文真是讓人放心。 🌟房間 我和我的朋友共用一間高級雙床房。 浴室、衛浴和水槽是分開的，使用起來很方便。 淋浴的水壓或吹風機的風力都沒有問題。 到達後才發現可以租燙髮器。 設施是歐舒丹◎ 但奇怪的是，雖然是兩個人入住，但每晚只有一套設施。 我想要第一天 2 套。 睡衣也採用舒適的棉質布料製成。 這是一個舒適的房間，沒有壓力。 🌟關於早餐 所有的菜都很美味。 它的設計目的是讓當地人和日本人都能享受。 菜單已更改，以便您即使住幾晚也不會感到無聊。 還有，最讓我驚喜的是豆漿竟然這麼好吃！ 日本的豆漿很濃稠，我不喜歡餘韻。 台灣豆漿口感順滑，餘韻清爽。 我覺得自助早餐的飲料角總是有熱豆漿的，所以一定要看！ 水果也很好吃！正如台灣所期望的那樣 🌟訪問 因為靠近市中心，所以有很多餐廳。 您也可以享受購物的樂趣。雖然離車站近一點， 我很高興很安靜。 🌟其他 許多工作人員都很熱情、友善、樂於助人。 *這在韓國和新加坡很常見。 鎮上沒有貨幣兌換處，這是一個大問題。 另外，銀行週六週日不營業(;;) 信用卡和二維碼支付並不像日本那麼先進。 在機場兌換大量貨幣是個好主意。 當然，飯店的價格相當糟糕。,,,,5,老爺大酒店,Google
2023-11-12,大部分工作人員都會說日語。 地點也方便，靠近中山站。 自助早餐需要改進。,3.0,3.0,4.0,3,老爺大酒店,Google
2023-11-10,服務滿點難怪下午茶時間排隊再久還是要想要等待 烘焙坊的麵包也好美味😘 不時會有新商品,,5.0,5.0,5,老爺大酒店,Google
2023-11-08,菜色普通，其中烤鴨附的蔥段只有5根，一桌10個人，我想請問一根兩個人吃嗎？請你們再送要收費也沒關係，5根不超過5公分的蔥段收$50？服務態度也不好，服務業真的很辛苦，但面對客人也請拿出基本的職業道德，,,1.0,,2,老爺大酒店,Google
2023-11-08,這是我第一次使用它。這是一家我對工作人員的反應、房間的清潔度和價格都非常滿意的飯店。下次我想嘗試這家餐廳。,5.0,5.0,5.0,5,老爺大酒店,Google
2023-11-07,飯店工作人員細心、有效率、樂於助人。熱情而專業的接待。酒店維護得很好。,4.0,5.0,5.0,4,老爺大酒店,Google
2023-11-13,還可以,,,,4,台北晶華酒店,Google
2023-11-12,我發現這是一家優雅、舒適的飯店。有人抱怨隔音，我能聽到一些聲音，但我並不覺得它們很麻煩。大廳和餐廳休息區漂亮而舒適。如果您步行，您可能不喜歡進出酒店的旅程，但寬闊的車道非常酷。 我四處閒逛，試著看看電梯裡不同樓層列出的一些休息室。在一些走廊上走來走去是一種非常安靜、令人毛骨悚然的經歷。有些門沒有標籤，我想知道它們是否隱藏著休息室空間或某種服務走廊。 最後一個挑剔是浴室瓷磚之間的填縫劑或其他任何東西鬆動或丟失，並且那裡有乾燥的水滴。這不值得打電話給前台，但這似乎是一個奇怪的疏忽。,4.0,5.0,4.0,4,台北晶華酒店,Google
2023-11-11,舒適的地方,,5.0,5.0,5,台北晶華酒店,Google
2023-11-11,令人遺憾的是麗晶飯店還在房間裡使用塑膠瓶裝水。在這裡待了 10 天后，我簡直不敢相信我浪費了多少塑膠。希望您可以開始使用玻璃瓶或安裝飲水機。,5.0,5.0,5.0,1,台北晶華酒店,Google
2023-11-11,服務人員親力親為，用餐環境乾淨舒適,5.0,5.0,5.0,5,台北晶華酒店,Google
2023-11-10,台北市晶華酒店的牛肉麵是一絕。 21樓提供道地的江浙菜。,5.0,5.0,5.0,5,台北晶華酒店,Google
2023-11-10,很棒的酒店,,,,4,台北晶華酒店,Google
2023-11-09,不得不說，這個服務真的是很好。工作人員的服務態度應該是全台的最好的。 自助早餐也非常的有水準，地段也是一流的，完全看不出這間旅館已經開始了幾十幾年！,,,,5,台北晶華酒店,Google
2023-11-08,每次來，都是回到家的感覺,5.0,5.0,4.0,5,台北晶華酒店,Google
2023-11-08,一家稍舊但仍然優雅乾淨的酒店。它位於中心位置，所以離任何地方都很近。 前台有日語工作人員，可以放心。,5.0,5.0,5.0,5,台北晶華酒店,Google
2023-11-07,多麼豪華的酒店。老派的服務，優越的地理位置。我感覺自己被寵壞了。亮點是晶華餐廳！,5.0,5.0,5.0,5,台北晶華酒店,Google
