review_date,review_text,amenities_score,service_score,location_score,overall_rate,review_hotel,review_source
2024-03-24,不錯的婚禮地點👍,,,,4,老爺大酒店,Google
2024-03-23,,,,,5,老爺大酒店,Google
2024-03-22,在大廳等接駁車，整整一小時三位櫃檯人員不停“大聲”聊天嘻笑，比旅客還吵 門口接待人員則是非常認真敬業,,,,3,老爺大酒店,Google
2024-03-21,,,,,3,老爺大酒店,Google
2024-03-20,羊排非常好吃，服務態度也不錯,,,,5,亞都麗緻大飯店,Google
2024-03-25,服務很好，餐廳和房間的乾淨度都夠水準，唯一可惜的地方在於隔音不太好，可能因為門太輕了，所以附近的開關門聲音都聽得非常清楚，對於淺眠的人來說不太好睡....,3.0,5.0,5.0,4,台北福華大飯店,Google
2024-03-25,,,,,4,台北福華大飯店,Google
2024-03-25,飯店交通方便，服務友好，熱忱介紹飯店及餐點， 謝謝Ivan.Chloe.Jessica.Jessie的接待，讓人感覺賓至如歸，及行里員Mori.胡先生的用心協助.,,,5.0,5,台北福華大飯店,Google
2024-03-24,,,,,5,台北福華大飯店,Google
2024-03-24,感謝 John Huang 美好的服務和熱心的協助,5.0,5.0,5.0,5,台北福華大飯店,Google
2024-03-24,Maggie 服務很好 很貼心,,,,5,台北福華大飯店,Google
2024-03-24,交通便利，餐點好吃且價廉，CP值高,4.0,5.0,5.0,5,台北福華大飯店,Google
2024-03-24,,,,,5,台北福華大飯店,Google
2024-03-24,好吃，服務很好,,5.0,,5,台北福華大飯店,Google
2024-03-24,參加會議，場地寬敞，豪華明亮，兩側螢幕大又清楚，餐盒豐富菜色、精緻美味,,5.0,5.0,5,台北W飯店,Google
2024-03-24,,,,,5,台北W飯店,Google
2024-03-24,景色太美了 交通也太便利了 這是我愛台灣的原因 真的是充滿熱情的地方 我打算要帶朋友再來一次🤭,5.0,5.0,5.0,5,台北W飯店,Google
2024-03-19,,,,,1,台北W飯店,Google
2024-03-25,Very good hotel. The sound insulation effect of hotel rooms is very good. My girlfriend and I had a great time. 很不錯的的酒店 在酒店房間環境中隔音效果很好與我的一日女朋友玩的很開心,5.0,5.0,5.0,5,台北君悅酒店,Google
2024-03-25,春節當天臨時訂到的餐廳， 自助buffet， 過年外食的高檔好選擇！,,5.0,5.0,5,台北君悅酒店,Google
2024-03-24,名不虛傳。,,,,5,台北君悅酒店,Google
2024-03-24,房間出現蟑螂 沙發椅很髒…感覺沒有清理….. 實在是一次蠻糟糕的住房體驗,,,,1,台北君悅酒店,Google
2024-03-24,日式風格自助餐，寿司，生魚片，饮料無限量供應，新鮮多元,4.0,5.0,4.0,4,台北君悅酒店,Google
2024-03-23,停車方便 悠哉用餐環境,,5.0,5.0,5,台北君悅酒店,Google
2024-03-23,,,,,1,台北君悅酒店,Google
2024-03-22,,,,,3,台北君悅酒店,Google
2024-03-21,,,,,4,台北君悅酒店,Google
2024-03-19,有年代感，但是服務人員提供了高品質的服務令人倍感溫馨,5.0,5.0,5.0,5,兄弟大飯店,Google
2024-03-24,飯店的位置靠近台北車站 附近的商圈適合逛街購物 停車很方便 食物也很美味,,5.0,5.0,5,台北寒舍喜來登大飯店,Google
2024-03-24,,,,,5,台北寒舍喜來登大飯店,Google
2024-03-24,老牌飯店的質感還不錯。,4.0,4.0,5.0,4,台北寒舍喜來登大飯店,Google
2024-03-23,,,,,5,台北寒舍喜來登大飯店,Google
2024-03-24,,,,,3,台北凱撒大飯店,Google
2024-03-24,,,,,5,台北凱撒大飯店,Google
2024-03-23,台北車站老飯店 聚餐、拔廢還ok 公司聚會沒住宿,,4.0,5.0,4,台北凱撒大飯店,Google
2024-03-23,餐廳氣氛佳，裝潢雅緻，菜餚豐盛可口 ，值得一去再去。,4.0,5.0,5.0,5,台北凱撒大飯店,Google
2024-03-22,地下街M6去凱撒大酒店電梯之前有一小段樓梯，有大行李不方便。,4.0,3.0,4.0,4,台北凱撒大飯店,Google
2024-03-22,服務超級爛,,1.0,,1,台北凱撒大飯店,Google
2024-03-24,,,,,5,台北美福大飯店,Google
2024-03-23,"很常在美福各餐廳用餐，米香 晴山 潮粵坊、Moment café 、彩匯等次數超過20次，整體用餐體驗很棒，也給一線人員一個讚。 但!!!!!!! !!!!唯一令人非常挑剔的事，不論哪個美福餐廳，""拿鐵""竟然用保久乳調製，味道一喝就非常怪異，不敢恭維，五星級餐廳用保久乳，是非常不專業的事情.......這點鮮乳成本不該省!採購該檢討",,5.0,,3,台北美福大飯店,Google
2024-03-23,服務人員很用心,5.0,5.0,5.0,5,台北美福大飯店,Google
2024-03-21,住這裡真的好舒服,5.0,5.0,5.0,5,台北美福大飯店,Google
2024-03-25,很不錯的的酒店 在酒店房間環境中隔音效果很好與我的一日女朋友玩的很開心,5.0,5.0,5.0,5,台北遠東香格里拉,Google
2024-03-23,,,,,5,台北遠東香格里拉,Google
2024-03-23,門口的一位很會跟人打招呼 好像是外國人嗎不確定 撥電話轉了但沒人接...很快 到了飯店的櫃檯有兩側其中一冊一個講電話 另外兩個比較 沒有事 其中一個打哈欠 卻沒有接電話 要自己走過去 請問 才會服務不會直接主動的 迎接接待,,,,2,台北遠東香格里拉,Google
2024-03-23,這個飯店一天給兩次房間都是錯誤的裡面都有房客，讓我們足足等待快一個小時 真的是很誇張啊這就是五星級飯店嗎？,1.0,1.0,1.0,5,台北遠東香格里拉,Google
2024-03-25,,,,,1,三德大飯店,Google
2024-03-22,優點：兩條捷運線交叉站交通便利 雖然民權西路站一堆要走的樓梯 房間很大 浴室水量大 熱水輸出快 隔音ok cp值算高 旁邊有超商 缺點；飯店歷史悠久 出電梯有明顯潮濕味 房間內我覺得味道不明顯 但浴室內就很濃烈 我個人是可以接受 冷氣有點聲音 飯店沒有提供備品 旅遊點不算近 結論 平日若一晚1500左右的價錢相當超值我會再訪 但若假日的價錢可能就不會考慮,4.0,4.0,5.0,5,三德大飯店,Google
2024-03-22,,,,,4,三德大飯店,Google
2024-03-22,老舊囉，房間有黴味…,,,,2,三德大飯店,Google
2024-03-19,我去面試，他們的面試表有問題， 要寫存跟歿（讓我想起家人死去的痛）， 還一直看我的資料， 他們應該會洩漏個資,2.0,2.0,5.0,1,三德大飯店,Google
,飯店櫃檯人員服務有待加強，有的服務人員一看就是新手，對於飯店設施不熟悉，有的服務人員態度冷漠，回答問題居然是低著頭，完全沒抬頭回答旅客問題，這家飯店的服務訓練真的有問題，這些有問題的服務人員到底有沒有經過有制度的考核訓練，淘汰不良人員，我看很多人反映貴飯店的服務態度是最大的問題，令人詬病。有一次的住房經驗，已經夠了，不會再前往消費。,4.0,1.0,4.0,1,圓山大飯店,Google
2024-03-25,今天在金龍廳吃午餐，料理的口味好，服務人員親切。,,,,4,圓山大飯店,Google
2024-03-25,,,,,5,圓山大飯店,Google
2024-03-24,富麗堂皇,,,,4,圓山大飯店,Google
2024-03-24,結婚22週年，來見見世面。 大廳鋼琴及小提琴演奏很棒。 裝潢氣派。 士林夜市很近，有接駁車。很棒!,5.0,5.0,5.0,5,圓山大飯店,Google
2024-03-24,圓山捷運站外有免費接駁車，還不錯！,5.0,5.0,5.0,5,圓山大飯店,Google
2024-03-24,吃了一顿自助餐，很不错！ (由 Google 提供翻譯) 吃了一頓自助餐，很不錯！,,,,5,圓山大飯店,Google
2024-03-24,,,,,1,豪景大酒店,Google
2024-03-22,離西門町商圈不只五分鐘！至少要走10-15分 別被騙了！ 櫃檯小姐態度非常極差！房間裡面真的髒到無與倫比，潮濕就算了天花板還會滴水！！ 奉勸各位真的不要來，會讓你對台北失望的一間爛酒店,1.0,1.0,1.0,1,豪景大酒店,Google
2024-03-19,,,,,3,豪景大酒店,Google
2024-03-19,,,,,4,豪景大酒店,Google
2024-03-23,台北寒舍艾美酒店是一個令人驚豔的五星級住宿選擇。從我步入大堂的那一刻起，我就被它的奢華氛圍和精心設計所吸引。酒店的服務人員以其熱情和專業的態度給我留下了深刻印象，他們不僅樂於助人，而且處處關心客人的需求。客房的舒適度和豪華感也無與倫比，從寢具到浴室設施，每一個細節都經過精心考量，讓我感受到家的溫暖和舒適。此外，酒店的餐飲選擇豐富多樣，無論是享用自助早餐還是品嚐精緻的料理，都能滿足我的味蕾。更令人驚喜的是，酒店地理位置優越，交通便利，附近有眾多購物和餐飲場所，讓我的旅程更加便捷和愉悅。總的來說，我對台北寒舍艾美酒店的住宿體驗非常滿意，我強烈推薦這個酒店給所有尋求奢華和舒適的旅客。,5.0,5.0,5.0,5,台北寒舍艾美酒店,Google
2024-03-22,,,,,3,台北寒舍艾美酒店,Google
2024-03-21,,,,,5,JR東日本大飯店台北,Google
2024-03-21,個人體驗是屬於，在飯店的餐廳消費,4.0,5.0,5.0,5,JR東日本大飯店台北,Google
2024-03-21,,,,,1,JR東日本大飯店台北,Google
2024-03-20,,,,,3,JR東日本大飯店台北,Google
2024-03-20,舒服的飯店,5.0,5.0,5.0,5,JR東日本大飯店台北,Google
2024-03-24,,,,,2,北投水美溫泉會館,Google
2024-03-24,房間蠻大的！,5.0,5.0,5.0,5,北投水美溫泉會館,Google
2024-03-23,,,,,1,北投水美溫泉會館,Google
2024-03-19,櫃檯人員、帶泡湯的阿姨都很親切 湯屋乾淨又寬敞，90分鐘非常足夠 比較特別的是除了附水還有寶礦力，很讚！,5.0,5.0,5.0,5,北投水美溫泉會館,Google
2024-03-19,,,,,4,北投水美溫泉會館,Google
2024-03-25,溫泉老飯店，但房間設施卻整理的不錯，有鑑於近期偷拍事件，還是這種個人房間較令人感到放心，雖位於捷運有段距離，但有接送服務，相當貼心。 至於早餐非常多樣性，但是卻少了點精緻，且桌與桌之間相對太近，容易被隔壁干擾，稍微可惜。,5.0,5.0,4.0,5,北投春天溫泉酒店,Google
2024-03-25,泡湯池一般,3.0,4.0,3.0,3,北投春天溫泉酒店,Google
2024-03-24,,,,,4,北投春天溫泉酒店,Google
2024-03-20,,,,,4,北投春天溫泉酒店,Google
2024-03-24,晚餐套餐好吃…C/P值不高…早餐勉強過關（種類不多）…房間灰塵略微稍多（日式房型）……可能不回頭……！,3.0,3.0,3.0,3,北投日勝生加賀屋國際溫泉飯店,Google
2024-03-22,湯屋90分鐘，非常棒！ 舒適乾淨，唯獨服務人員較制式化，語言可以多加一些溫度,5.0,5.0,5.0,5,北投日勝生加賀屋國際溫泉飯店,Google
2024-03-21,,,,,4,北投日勝生加賀屋國際溫泉飯店,Google
2024-03-21,2024/03再訪，此次為一泊二食行程，建議早點來飯店充分使用大眾湯，酒吧等設施，物超所值！ 推湯屋+午膳方案 個人覺得CP值相當高，和式午膳相當精緻，適合放空，細細品嚐！,5.0,5.0,5.0,5,北投日勝生加賀屋國際溫泉飯店,Google
2024-03-19,,,,,5,北投日勝生加賀屋國際溫泉飯店,Google
2024-03-23,放浴巾、毛巾的籃子灰塵很厚 浴衣褪色、破損,3.0,3.0,5.0,3,南豐天玥泉會館,Google
2024-03-19,-訂房時有確認是一大床，但實際是兩小床合在一起的，且兩張床高低和軟硬差距極大，非常不舒適 -廁所衛生紙架壞掉，左搖右晃，抽一抽還會整捲飛走 -淋浴間漏水聲整晚不斷，已經乾了還是一直聽到水聲，且是在完全沒有使用蒸氣室的情形，影響休息品質 以一晚8500的高價應該要有更好的品質,2.0,4.0,5.0,3,南豐天玥泉會館,Google
2024-03-19,參加朋友的喜宴，覺得婚宴會場音響設備很差、出菜很慢、服務人員態度不好👎 想在這辦婚宴超級不推薦,,,,1,南豐天玥泉會館,Google
2024-03-19,開會聚餐好去處😊,5.0,5.0,5.0,5,南豐天玥泉會館,Google
2024-03-22,來過幾趟，很好的溫泉酒店,4.0,4.0,4.0,4,陽明山天籟渡假酒店,Google
2024-03-25,,,,,5,北投麗禧溫泉酒店,Google
2024-03-25,,,,,5,北投麗禧溫泉酒店,Google
2024-03-24,新飯店，品質高,5.0,5.0,5.0,5,北投麗禧溫泉酒店,Google
2024-03-24,,,,,5,北投麗禧溫泉酒店,Google
2024-03-22,帶老婆慶生來泡湯屋，設施及服務人員都是高水準，而且員工看到我們帶一個小蛋糕，居然在checkout的時候，收到貼心小卡片和禮品，真不愧是五星級的溫泉酒店，未來再找時間來體驗住宿！,,5.0,,5,北投麗禧溫泉酒店,Google
2024-03-22,房間整潔，服務員態度親切，泡湯後來個下午茶，食物擺設很特色，很直得推介👍🏻,5.0,5.0,5.0,5,北投麗禧溫泉酒店,Google
2024-03-22,,,,,5,北投麗禧溫泉酒店,Google
