review_date,review_text,amenities_score,service_score,location_score,overall_rate,review_hotel,review_source
,晚上自助餐，牛肉料理都讚！,,4.0,4.0,4,老爺大酒店,Google
2023-11-06,整體來說飯店的入住體驗不錯，但櫃子看起來有點舊，覺得是時候重新裝潢了。,4.0,4.0,5.0,4,老爺大酒店,Google
2023-11-05,下午茶補餐速度不積極。3：45麵包沒了提醒服務生，但是沒人補餐。3：59再問一次，直接跟我說沒了。感覺做吃到飽的決心不夠，這樣也敢收一個人800？,,,,1,老爺大酒店,Google
2023-11-05,我是11/4新人請的攝影師， 場地很不錯，餐廳準備的便當真的是這幾年吃過最讚的， 我習慣拍攝結束後才用餐， 因為第一次造訪，不小心佔用了下午茶區的位子， 吧台的小姐還特別挪了好像是咖啡廳的位子給我用餐跟提供熱茶， 當攝影這麼久第一次遇到這麼禮遇的飯店， 可以在下工後舒適的用上一餐， 真的是很有人情味的飯店， 未來有到台北旅行活商務行程， 會優先考慮貴飯店入住。,5.0,5.0,5.0,5,老爺大酒店,Google
2023-11-04,櫃檯服務人員服務親切有禮貌 服務好,5.0,5.0,5.0,5,老爺大酒店,Google
2023-11-04,交通方便 附近有很多可以閒逛的地方。,5.0,5.0,5.0,5,老爺大酒店,Google
2023-11-02,有置於日本的幻覺！從進大門的門侍人員的熱情、到餐廳服務人員，日本料理的主管更是整場的靈魂人物！ 來到客房遇到整理房間的工作人員90度的彎腰問侯！ 讓人感到非常不可思議！ 在台灣的服務業裡算是值得推薦的飯店。,5.0,5.0,5.0,5,老爺大酒店,Google
2023-11-02,地理位置絕佳，適合觀光，自助早餐美味又豐盛，隔壁還有喜來登飯店，不過也同樣不錯。,4.0,4.0,4.0,4,老爺大酒店,Google
2023-10-31,位置離中山站很近，工作人員的熱情好客。,5.0,5.0,5.0,5,老爺大酒店,Google
,下午大約三點多的時候和家人去2樓的上庭酒廊用餐 走進去沒有接待就算了，被男服務員擋下還問我們在找什麼 並且一再強調該時段沒有餐點只能喝咖啡 說是要喝咖啡才讓我們入座 結果點完飲品隔壁桌來了一組客人 服務員上前就是介紹餐點和菜單 後來詢問才知道是要提前預訂 雖然本就沒有要吃東西 但感受不太好 點餐前詢問有沒有咖啡以外的飲品 送菜單的服務員 英文名字V開頭的小姐直接回應不知道叫我們自己看就走人 上飲品也沒告知是什麼品項 還要自己打開聞才知道是茶還是咖啡 用餐時有遇到一群像是參加完宴會的客人從樓上下來，吵雜的人群亂竄用餐區，甚至撞擊到我們的椅子，服務人員也沒有制止不要影響到其他客人，人群的動線非常奇怪，應該要多加宣導管理 第一次走訪 本想體驗晶華酒店下午茶的氛圍，這樣的價格跟服務不成正比，感受非常差，不會想再去,,1.0,,1,台北晶華酒店,Google
2023-11-06,超棒的酒店 (由 Google 提供翻譯) 超棒的飯店,5.0,5.0,5.0,5,台北晶華酒店,Google
2023-11-05,讚,5.0,5.0,5.0,5,台北晶華酒店,Google
2023-11-05,我不能推薦任何人入住這家飯店。 酒店設計過時，設計和保安不安全。飯店其他部分和大廳之間的地板不平坦，有墜落危險，因此飯店僱用工作人員站在間隙處提醒客人。房間是透過實體鑰匙進入的，而不是使用現在幾乎所有酒店都使用的現代掃描卡。隨後，隨機的人可以進入整個酒店。沒有安全或掃描系統阻止他們搭乘電梯進入客房。 我經歷了一場可怕的噩夢，一位鄰近的酒店客人，一位外國人，試圖闖入我的房間，甚至在附近的一位管家的幫助下，他走近並伸手拿鑰匙，幫助他錯誤地進入了我的房間。被抓後，清潔員和外國人二話不說就逃走了。 除了中階經理凱文之外，飯店管理層並沒有認真對待這次闖入企圖。高階管理層，特別是辛西婭·沉（Cynthia Shen）和西蒙·吳（Simon Wu），行為不負責任，並做出了極其可疑的回應，包括試圖撒謊和追查所發生的事情。我相信管理層將這個外國人的福祉置於當地人的利益之上，據我了解，他甚至沒有因為他的闖入嘗試而受到「懲罰」。 幾週後，我透過之前的預訂回來了。奇怪的是，辛西亞特意把我安排在事發時的隔壁房間。回到同一個地方是非常不愉快和痛苦的。如果那個外國人還在呢？台北晶華酒店是一家擁有無數房間的大型飯店，無需安排我返回相鄰的房間。更糟的是，儘管解釋了情況，前台卻說他們無權給我換房間。 台北晶華的管理階層對犯罪表現出漠不關心。他們選擇忽略明顯的事實，電子郵件一次會在近一個月的時間裡無法回覆。管理階層根本沒有興趣幫助或保護他們的客人，甚至是像我這樣的回頭客。再次強調，我不推薦任何人入住這家飯店。,3.0,1.0,5.0,1,台北晶華酒店,Google
2023-11-05,符合五星級的標準,4.0,4.0,5.0,4,台北晶華酒店,Google
2023-11-05,兒童遊戲室IRIS姊姊手作課程，小朋友愛不釋手，每位小孩乖乖聽老師上課，做出屬於自己最特別的手作風格,4.0,5.0,5.0,5,台北晶華酒店,Google
2023-11-05,柏麗廳的美食餐，很好吃，服務人員很友善，是很有水准的感覺，享受的鋼琴音樂的氛圍，唱歌很好聽，哈哈哈哈哈！開心！開心，完美的晚餐,5.0,5.0,5.0,5,台北晶華酒店,Google
2023-11-04,5F遊戲室手作課程非常棒！謝謝Iris姐姐陪同米米玩手作。,,,,5,台北晶華酒店,Google
2023-11-04,意外發現這個商務飯店的遊戲空間，感覺小而美，而且還有美美的教材教師Iris協助帶小朋友手做！👍這個服務真的超級友善親子❤️❤️❤️,5.0,5.0,5.0,5,台北晶華酒店,Google
2023-11-04,櫃檯服務人員服務親切有禮貌 服務好,5.0,5.0,5.0,5,台北晶華酒店,Google
