review_date,review_text,amenities_score,service_score,location_score,overall_rate,review_hotel,review_source,expectation
2023-12-12,它位於一個非常適合旅行的位置。 搭乘地鐵不到一小時即可到達大多數著名的地方，搭乘計程車可以更快到達那裡。 飯店房間比想像中小一點，但該有的都有。 從服務、服務和回應來看，這是最好的。 我不懂韓語，但一切都是用簡短的日語/英語溝通的，所以沒有困難。 我想當我再次去台灣時我會再次使用它。,4.0,5.0,5.0,5,老爺大酒店,Google,4.2
2023-12-11,不錯的感覺,4.0,4.0,4.0,4,老爺大酒店,Google,4.2
2023-12-11,房間很舒適也夠大,5.0,4.0,5.0,5,老爺大酒店,Google,4.2
2023-12-11,這個地區非常好，不像西門町那樣擁擠和繁忙，可以輕鬆前往捷運中山站（步行5 分鐘）、購物場所（5-7 分鐘）、周圍有餐廳（2 家必嘗火鍋店；五老和神谷） ），很多便利商店。這家酒店可能不是那麼現代或新 - 給人一種舒適和經典的氛圍。從前到後的工作人員都非常細心且樂於助人。我們印象非常深刻！,4.0,5.0,5.0,5,老爺大酒店,Google,4.2
2023-12-11,生魚片 甜點 非常好吃，但可挑選種類較少,4.0,5.0,4.0,4,老爺大酒店,Google,4.2
2023-12-11,今天有點熱12/8，找冷氣調節處，看到內坎式的中央空調，便開啟了門板，天呀…這灰塵累積太恐怖😱。有點失望，空氣中感到不舒服😭。希望貴公司能注重，端出更優質的環境 才能與世界爭寵 加油 go! 後來有換房，👍服務品質是肯定的。,3.0,5.0,5.0,3,老爺大酒店,Google,4.2
2023-12-10,在這等待接駁車沒有住過不知道服務,,4.0,4.0,4,老爺大酒店,Google,4.2
2023-12-06,吸煙區設在門口，在門口等人一直聞煙味,5.0,5.0,4.0,4,老爺大酒店,Google,4.2
2023-12-11,地點佳，餐點好吃 但隔音稍差,,,,5,台北晶華酒店,Google,3.2
2023-12-11,ViVi服務很好,5.0,5.0,5.0,5,台北晶華酒店,Google,3.2
2023-12-11,聖誕節活動vivi很親切🥰🥰🥰,5.0,5.0,5.0,5,台北晶華酒店,Google,3.2
2023-12-11,海鮮品質佳，甜點好吃，但牛排過熟，牛小排乾柴。,,5.0,5.0,4,台北晶華酒店,Google,3.2
2023-12-11,晶華酒店很有聖誕節氣氛，Vivi 是一位親切可愛的服務小姐！Excellent!,,,,5,台北晶華酒店,Google,3.2
