review_date,review_text,amenities_score,service_score,location_score,overall_rate,review_hotel,review_source,expectation
2024-02-06,只是想對員工們表示感謝，感謝他們對我們的照顧。我們的房間有問題，他們幫助我們搬到了一個更好的新房間。感謝他們友善快速的服務！,,5.0,,5,老爺大酒店,Google,4.5
2024-02-04,有足夠的空間睡覺。感覺有點舊了，不過還算乾淨。地點非常方便，購物、吃飯、出遊都很方便。推薦第一次來台灣的朋友。工作人員的日語都很流利，所以不會有任何麻煩。我非常感謝所有有禮貌回應的人。非常感謝！,4.0,5.0,5.0,4,老爺大酒店,Google,4.5
2024-02-03,台北的豪華酒店。 前台工作人員的日語也很流利，讓你忘記自己身在海外。 可以看到，整理房間的工作人員也很細心。早餐是自助式的，很美味。,5.0,5.0,5.0,5,老爺大酒店,Google,4.5
2024-02-06,只是想對員工們表示感謝，感謝他們對我們的照顧。我們的房間有問題，他們幫助我們搬到了一個更好的新房間。感謝他們友善快速的服務！,,5.0,,5,老爺大酒店,Google,4.5
2024-02-04,有足夠的空間睡覺。感覺有點舊了，不過還算乾淨。地點非常方便，購物、吃飯、出遊都很方便。推薦第一次來台灣的朋友。工作人員的日語都很流利，所以不會有任何麻煩。我非常感謝所有有禮貌回應的人。非常感謝！,4.0,5.0,5.0,4,老爺大酒店,Google,4.5
2024-02-03,台北的豪華酒店。 前台工作人員的日語也很流利，讓你忘記自己身在海外。 可以看到，整理房間的工作人員也很細心。早餐是自助式的，很美味。,5.0,5.0,5.0,5,老爺大酒店,Google,4.5
2024-02-06,只是想對員工們表示感謝，感謝他們對我們的照顧。我們的房間有問題，他們幫助我們搬到了一個更好的新房間。感謝他們友善快速的服務！,,5.0,,5,老爺大酒店,Google,4.5
2024-02-04,有足夠的空間睡覺。感覺有點舊了，不過還算乾淨。地點非常方便，購物、吃飯、出遊都很方便。推薦第一次來台灣的朋友。工作人員的日語都很流利，所以不會有任何麻煩。我非常感謝所有有禮貌回應的人。非常感謝！,4.0,5.0,5.0,4,老爺大酒店,Google,4.5
2024-02-03,台北的豪華酒店。 前台工作人員的日語也很流利，讓你忘記自己身在海外。 可以看到，整理房間的工作人員也很細心。早餐是自助式的，很美味。,5.0,5.0,5.0,5,老爺大酒店,Google,4.5
2024-01-31,我從 2024 年 1 月 24 日起再次訪問這裡並住了 2 晚。 前台的人和上次（2016年）一樣，他的日文很流利，我以為他是日本人。 其他人也能說流利的日語。,5.0,5.0,5.0,5,老爺大酒店,Google,4.5
2024-01-31,乾淨、整潔、位置優越。抵達後得到了一點菠蘿糕點。自從我們升級到尊貴房以來，一直有歐舒丹盥洗用品。只是不是 5 星所保證的額外驚喜。,,,,4,老爺大酒店,Google,4.5
2024-01-31,服務人員親切，餐點好好吃，房間乾淨舒適，交通也方便,5.0,5.0,5.0,5,老爺大酒店,Google,4.5
2024-01-31,正如豪華酒店所期望的那樣,5.0,4.0,4.0,4,老爺大酒店,Google,4.5
2024-01-31,即使身在異國他鄉，也能感到輕鬆自在。當你住在酒店時，感覺就像日本一樣。感謝工作人員的細緻接待！,4.0,5.0,4.0,5,老爺大酒店,Google,4.5
2024-01-24,房間比較舊，有些地方需要升級改造。,3.0,5.0,5.0,3,老爺大酒店,Google,4.5
2024-01-24,位置很好。距離地鐵站步行約10分鐘，離大倉飯店很近。前台工作人員都會說日語，所以您可以放心入住。 無論好壞，這是一家小酒店，所以你可以立即出去並快速到達你的房間。 飯店房間很小。內裝和設備都比較老舊，性價比不好。例如，這就像回到家一樣。 我希望它能得到適當的翻新！ ️ 客戶群主要是日本人。 如果您想要高品質的飯店，我們推薦大倉。,2.0,4.0,5.0,3,老爺大酒店,Google,4.5
2024-01-24,星期六下午入住，門口接待員非常親切，飯店精緻貼心，備品齊全，洗澡時水恆溫舒適，帶小孩住宿有完美的體驗。,5.0,5.0,5.0,5,老爺大酒店,Google,4.5
2024-01-24,2024 年 1 月使用 前台的每個人都會說日語，所以您可以放心。 由於位於主路沿線，景色有點簡陋，但房間乾淨舒適，配有衛洗麗。 很方便，因為離地鐵站很近，還有便利商店和餐廳！ （Komeda和Gyukaku也在步行1-2分鐘內）,4.0,4.0,4.0,4,老爺大酒店,Google,4.5
2024-01-24,我選擇這家旅館是因為它的位置，就在台灣辦事處的街對面，我真的很滿意。距離宗山站非常近（步行3分鐘），附近有便利商店、公園、餐廳等便利設施，地理位置優越。工作人員也非常友好。房間感覺有點舊，但維護得很好，一點也不方便。早餐通常是日式的，吃膩了台灣菜也能吃得很舒服，而且食物品質也不錯。 總的來說，這是一個缺乏一切的地方，包括我們對五星級酒店所期望的服務、對細節的關注和清潔，以及完美的位置。我去台灣出差期間參觀了幾家酒店，我想這將是我今後的首選。 如果你因為韓國的評論不多而猶豫，不用擔心，選擇吧！,5.0,5.0,5.0,5,老爺大酒店,Google,4.5
2024-01-17,還好,3.0,3.0,3.0,3,老爺大酒店,Google,4.5
2024-01-17,Maio服務態度需要改善，從送前菜開始就一直想要收東西，送餐上來也不會說一下，我跟我朋友在聊天直接從中間穿過去，是想燙死我嗎,,1.0,,1,老爺大酒店,Google,4.5
