review_date,review_text,review_rate,review_hotel,review_source,expectation
2023-10-23,住了 6 個晚上，房間非常安靜，甚至面向街道，遮光窗簾很好，空調效果很好，包含早餐，很喜歡這個選擇。我們有一天晚上在這裡吃了晚餐，也很喜歡這裡的選擇。服務非常好，女僕服務很友好，叫出租車很棒，餐廳服務友好而快速。這只是一次真正愉快的經驗。很高興再次入住,5,老爺大酒店,Google,5.0
2023-10-23,Nikko飯店從入住開始到退房服務都很專業、且態度超和善。 非常感謝housekeeper把房間整理的乾乾淨淨、我們可以很放心的入住。,5,老爺大酒店,Google,5.0
2023-10-23,這家飯店對其位置、服務和客房非常滿意。,5,老爺大酒店,Google,5.0
2023-10-23,我於 2023 年 10 月 19 日至 22 日與媽媽一起入住 很棒的團隊真的很有幫助，尤其是 10 月 22 日值夜班的團隊，非常感謝他們幫忙搬運行李、東西等，強烈推薦，會再入住👍👍👍👍👍,5,老爺大酒店,Google,5.0
2023-10-20,位於中心位置，步行即可到達地鐵站和購物區。 更重要的是永遠細心的工作人員和卓越的服務（除了麵包店女士……她還不錯，但對推薦等不是很有幫助） 房間寬敞，寢具超級舒適，浴室設施齊全，足以滿足大多數女士的需求 強烈推薦,5,老爺大酒店,Google,5.0
2023-10-18,服務態度第一是住過台灣飯店最優秀的，貼心細膩另人感動。近年整修過的老爺住起來也是乾淨舒適，會再回來住宿。 2023/8/28 的住宿經驗扣分 晚班櫃檯女態度令人不悅，隔日早餐裡的女眼鏡服務生無視我手上一盤食物從我面前趕先閃了過去還一副臭臉，跟現場女主管說了情況只說會在了解。 怎麼老爺最值得稱許的優點印象大扣分了！,5,老爺大酒店,Google,5.0
2023-10-24,偉大的,5,台北晶華酒店,Google,5.0
2023-10-24,🔅實際住宿日期：2023/07/21一晚 *照片未經允許請勿轉載&商業使用 ▪️豪華客房 45㎡ 💰訂房網站訂房 $6000多 早餐：栢麗廳自早餐 $880+10% /客 有些圖是 雲天露臺家庭房 65㎡ （價格不知，是其他家人的房間） 第一次入住晶華，是因為剛好隔天要來參加親戚的家聚，因為有點久沒住飯店了，外加也不是我付錢（？）就簡單介紹就好。 終於住到金鑰匙🔑整體來說就是蠻舒服簡單的，不會到超級華麗但也不會很單調，很喜歡有一點點沙發區空間的房型，還有一小區辦公區，廁所意外的很寬敞，杯具很美！（奇妙的細節哈哈）備品們就是正常（發現沒拍到）沐浴乳洗髮精為了環保已改為大瓶的。 補充一下剛入大廳可能因為剛好遇到入住巔峰時期，左右邊的櫃檯完全不知道要排哪個才對，可能我看起來很像不知道跟著誰哪團的所以沒有被指引到，排了（等了）20分鐘左右才有人指引我到正確的排隊位置。可能因為心情很好所以也沒覺得怎樣，不過確實一開始排隊動線很亂。 聽說他們家行政酒廊不錯，但目前沒什麼涉略，以上供參考。,5,台北晶華酒店,Google,5.0
2023-10-24,全台灣最令人失望的星級飯店 深夜無故停電，甚至有其他人被困在漆黑的電梯裡，完全沒有任何一名飯店人員出面，要不是呼救聲被其他房的人聽到，連求救都有困難，房間內提供的緊急手電筒用不到三分鐘就沒電，緊急照明五分鐘不到也沒了。更誇張的是復電以後沒有得到任何解釋、沒有任何補償。查過新聞才發現原來跳電早已不是難得的事 回到飯店本身，入住雙人豪華房，雙人床竟然是兩張單人床合併在一起偽裝而成的...超級傻眼。被子非常薄，但房內沒有其他任何備用被，我還以為在隔壁馬偕住院。 電視收訊狀況非常糟...每五秒就會頓一下，而且電視台的選擇非常少，畫面還不太穩定，常常會跳來跳去的。不過這些問題都不是問題，因為跳電復電以後就打不開了。 浴室雖大但不太乾淨，鏡子跟玻璃上甚至都還有明顯的抹布痕跡；馬桶設計非常奇怪，免治馬桶似乎跟馬桶本身形狀不合，導致打開馬桶蓋角度沒喬好就會自己蓋起來= =廁所裡面沒有垃圾桶，女性衛生用品要丟在大廳櫃檯嗎？馬桶沖水力道跟整個住房體驗一樣，爛到不行。 最後講餐點，從頭到尾感受到被差別待遇的用餐體驗，餐點漏做要等兩個小時，真的餓到生氣。拿回房才發現沒有提供餐具，點壽司沒提供筷子跟山葵。 總結來說，第一次來晶華你會發現原來不是花錢就可以解決問題，還會有人找很多問題給你。整間飯店漏東漏西，一點都感受不到任何用心想要做好、貼心為顧客著想的地方，不要說是五星級飯店了，說自己是台北的星級飯店都是在丟台灣的臉，不過以晶華的程度，大概只丟得起中山北路的臉。,2,台北晶華酒店,Google,5.0
2023-10-23,優點:交通方便，離捷運站跟商圈都很近，要逛街找餐廳都不難。房間蠻大的隔音也算不錯，整體整潔度維持的不錯。早餐豐盛度還不錯，有中上程度。電梯有天然鳥鳴聲，還算蠻有特色的。 缺點:使用鑰匙開門實在不太方便，走廊偏暗的狀況下很不容易開門。進出浴室的坎太高，沒有戴眼鏡的話容易不小心踢到而受傷。早餐餐廳的桌子有些沒有固定，外力一大就會移動有點危險，餐廳的沙發有些也有破損需要修整。窗簾應該採用電動方式，不然實在不容易拉起。,4,台北晶華酒店,Google,5.0
2023-10-23,自助餐點種類多，品質優,4,台北晶華酒店,Google,5.0
2023-10-23,慶生聚餐，大家一致覺得菜色的種類太少，選擇性不多，cp 值太低！,3,台北晶華酒店,Google,5.0
2023-10-22,萬聖節快樂～,5,台北晶華酒店,Google,5.0
2023-10-22,萬聖節快樂 大廳糖果車,5,台北晶華酒店,Google,5.0
2023-10-22,萬聖節快到了～帶家裡小朋友來住宿 看到有糖果餐車小朋友超級開心 還有漂亮小姊姊很熱心的幫我們介紹 超棒！,5,台北晶華酒店,Google,5.0
2023-10-22,萬聖節快樂,5,台北晶華酒店,Google,5.0
2023-10-22,棒棒棒✌️,5,台北晶華酒店,Google,5.0
2023-10-22,Happy Halloween 精緻的萬聖節裝飾,5,台北晶華酒店,Google,5.0
2023-10-22,服務好 人又漂亮 vivi 讚,5,台北晶華酒店,Google,5.0
