review_date,review_text,amenities_score,service_score,location_score,overall_rate,review_hotel,review_source,expectation
2024-02-18,第一次入住老爺 晚上可以還聽到隔壁有人洗澡的聲音 🤣 還可以忍受 大致上都很乾淨明亮舒適 服務人員都很親切 早餐雖然說不上豪華但是很美味吃得很飽 飯店的鳳梨酥一定要吃喔 讚讚讚,3.0,4.0,4.0,4,老爺大酒店,Google,4.8
2024-02-17,出國時可以用日文交流，這是一家讓您安心的飯店。客人還可以享受紀念品折扣。房間很乾淨，去中山車站的交通也很方便。,5.0,5.0,5.0,5,老爺大酒店,Google,4.8
2024-02-16,1. 床很好睡，想買同款的床來換掉家裡的。 2. 隔音不錯，很安靜。 3. 第一次住老爺就愛上了，老婆指定以後到台北玩，都要訂這間。,5.0,5.0,5.0,5,老爺大酒店,Google,4.8
2024-02-15,距離中山站步行約 3 分鐘，交通便利，附近有三越和便利商店，搭乘計程車或 Uber 也很方便。 建築外觀較舊，接待區感覺比其他城市的日航小，但房間很乾淨，有獨立的衛生間和浴室，設施是歐舒丹的。除了浴袍之外，還有睡衣◎ 早餐很美味，還有一些日本料理。 有很多會說日語的工作人員，接待處的Tom先生特別樂於助人，儘管是農曆新年，這非常有幫助。 原汁原味的鳳梨酥很好吃，推薦當伴手禮。,5.0,5.0,5.0,5,老爺大酒店,Google,4.8
2024-02-14,這是我來台灣住過的飯店裡我最喜歡的飯店。 感覺很舊但是維護得很好。 一樓的麵包店、中餐廳、早餐等都不錯。 來台北首選考慮的酒店,5.0,5.0,5.0,5,老爺大酒店,Google,4.8
2024-02-17,一切都很順利！ 沒什麼好說的。 我強烈推薦！！,5.0,5.0,5.0,5,亞都麗緻大飯店,Google,3.8
2024-02-13,服務人員非常用心 住飯店第一次覺得給小費給的很開心👍,5.0,5.0,5.0,5,亞都麗緻大飯店,Google,3.8
2024-02-13,這是我心中最好的飯店。 工作人員非常友善和體貼，我可以感受到打掃這裡的工作人員的乾淨和細緻。您還可以使用著名的餐廳，使其更有價值。 地點也非常滿意，步行5分鐘內即可自由搭乘巴士和電車。 我有200%的意願再去。,5.0,5.0,5.0,5,亞都麗緻大飯店,Google,3.8
2024-02-13,號稱服務品質最佳的飯店，從門僮接待到麗緻坊禮品販售，一些小動作都令人感到失望！,4.0,1.0,2.0,3,亞都麗緻大飯店,Google,3.8
2024-02-13,過年期間北上跟家人在天香樓吃除夕 晚上住在亞都麗緻 我只能說真的住的非常不舒服 房間室內溫度20度！ 冷到不行 飯店回覆暖氣是中央空調（？） 20度請問是開了還是沒開暖氣？！ 然後提供了一台 你要蹲在它旁邊才會暖的暖氣 有夠傻眼 還讓你有回家的感覺咧！ 不好意思 我家沒這麼破！這裏冷得要死！！ （還沒退房在房間就留負評） 五星級飯店！！ 連暖氣都沒有的老設備還敢收這樣的價格！！！ 超敢收費 臉皮偏厚！！！！ 驚訝 五星級飯店比汽車旅館設備還爛欸！,,,,1,亞都麗緻大飯店,Google,3.8
2024-02-18,"Concierge黃彥仁Daniel , Linus, Jack是我見過最熱心的服務人員",,5.0,,5,台北福華大飯店,Google,5.0
2024-02-18,今天中午請朋友一起到福華大飯店江南春用餐，遇到林經理，曲副理，于副理，翁美蕙及林俊甫領班等人，接待都非常親切週到，點餐很細心注意客人口味需求，上菜的服務也非常週到，且餐點烹調非常美味可口，朋友們對服務及佳餚品質都感到非常驚艷，讚不絕口，賓主盡歡，江南春的確是值得招待親朋好友的好餐廳。,5.0,5.0,5.0,5,台北福華大飯店,Google,5.0
2024-02-18,彩虹廳的美食新鮮好吃，服務態度佳，適合家庭聚會,,,,5,台北福華大飯店,Google,5.0
2024-02-18,很棒的問候。謝謝雷內女士，傑西女士,4.0,5.0,4.0,5,台北福華大飯店,Google,5.0
2024-02-18,黃先生！您真是太樂於助人了:)謝謝您的服務！店員和禮賓人員都非常樂於助人，而且很容易相處。這是一個很好的住宿體驗。,5.0,5.0,4.0,5,台北福華大飯店,Google,5.0
2024-02-18,Henry和Jason服務都非常熱情、細心,5.0,5.0,5.0,5,台北福華大飯店,Google,5.0
2024-02-18,Jessica報名非常有耐心熱情，朋友們紛紛稱讚她,5.0,5.0,5.0,5,台北福華大飯店,Google,5.0
2024-02-18,歧視外送員,,1.0,,1,台北W飯店,Google,4.2
2024-02-18,這裡的服務從前台工作人員到餐廳工作人員都是最好的。每個人都會竭盡全力為客人提供協助。健身房 24 小時開放。,4.0,5.0,5.0,5,台北W飯店,Google,4.2
2024-02-18,房間裝潢比8年前多了一份溫馨感...以前有點冷,5.0,5.0,5.0,5,台北W飯店,Google,4.2
2024-02-17,這應該是目前住過離101最近的酒店了 樓下就是新光三越 房間的風格比較偏向商務辦公 跟夜店的燈光跟音響也相當有特色 最喜歡三溫暖跟按摩椅,5.0,5.0,5.0,5,台北W飯店,Google,4.2
2024-02-16,飯店服務非常好、隔音也是非常讚。讓人想整天待在飯店裡享受！ 下次來台北肯定會再來入住👍,5.0,5.0,5.0,5,台北W飯店,Google,4.2
2024-02-13,還行啦,,,,5,台北W飯店,Google,4.2
2024-02-18,我在年底的時候住在這裡。 我真的對這個地方沒有任何抱怨。一切都很壯觀。我最喜歡這家飯店的是桑拿浴室，設施齊全，設施齊全，我喜歡宏偉的大廳。我必須特別感謝接待處的那位女士，她竭盡全力確保我的洗衣要求得到滿足（我希望我問了她的名字，但謝謝！） 房間寬敞舒適，但感覺浴室沒有通風，所以房間感覺有點潮濕。 我下次在台北逗留時肯定會回到這裡。,4.0,5.0,4.0,5,台北君悅酒店,Google,5.0
2024-02-18,Lobby很豪華氣派，buffet也好吃😋公司尾牙來這吃的！,5.0,5.0,5.0,5,台北君悅酒店,Google,5.0
2024-02-18,來茶苑吃蔬食Buffet，很有特色，值得一吃。,,,,5,台北君悅酒店,Google,5.0
2024-02-18,服務是最好的！,5.0,5.0,5.0,5,台北君悅酒店,Google,5.0
2024-02-17,謝謝台北君悅酒店 願意提供寵物友善的房型 雖然都是集中在固定低樓層 櫃檯親戚有禮 凱菲屋的餐點也非常美味 在這邊度過一個非常舒服的假期,5.0,5.0,5.0,5,台北君悅酒店,Google,5.0
